abd0,0,1:0:00
abd1,1,1:1:00
abd2,2,1:2:00
abd3,3,1:3:00
abd4,4,1:4:00
abd5,5,1:5:00
abd6,6,1:6:00
abd7,7,1:7:00
abd8,8,1:8:00
abd9,9,1:9:00
abd10,10,1:10:00
abd11,11,1:11:00
abd12,12,1:12:00
abd13,13,1:13:00
abd14,14,1:14:00
abd15,15,1:15:00
abd16,16,1:16:00
abd17,17,1:17:00
abd18,18,1:18:00
abd19,19,1:19:00
abd20,20,1:20:00
abd21,21,1:21:00
abd22,22,1:22:00
abd23,23,1:23:00
abd24,24,1:24:00
abd25,25,1:25:00
abd26,26,1:26:00
abd27,27,1:27:00
abd28,28,1:28:00
abd29,29,1:29:00
abd30,30,1:30:00
abd31,31,1:31:00
abd32,32,1:32:00
abd33,33,1:33:00
abd34,34,1:34:00
abd35,35,1:35:00
abd36,36,1:36:00
abd37,37,1:37:00
abd38,38,1:38:00
abd39,39,1:39:00
abd40,40,1:40:00
abd41,41,1:41:00
abd42,42,1:42:00
abd43,43,1:43:00
abd44,44,1:44:00
abd45,45,1:45:00
abd46,46,1:46:00
abd47,47,1:47:00
abd48,48,1:48:00
abd49,49,1:49:00
abd50,50,1:50:00
abd51,51,1:51:00
abd52,52,1:52:00
abd53,53,1:53:00
abd54,54,1:54:00
abd55,55,1:55:00
abd56,56,1:56:00
abd57,57,1:57:00
abd58,58,1:58:00
abd59,59,1:59:00
abd60,60,1:60:00
abd61,61,1:61:00
abd62,62,1:62:00
abd63,63,1:63:00
abd64,64,1:64:00
abd65,65,1:65:00
abd66,66,1:66:00
abd67,67,1:67:00
abd68,68,1:68:00
abd69,69,1:69:00
abd70,70,1:70:00
abd71,71,1:71:00
abd72,72,1:72:00
abd73,73,1:73:00
abd74,74,1:74:00
abd75,75,1:75:00
abd76,76,1:76:00
abd77,77,1:77:00
abd78,78,1:78:00
abd79,79,1:79:00
abd80,80,1:80:00
abd81,81,1:81:00
abd82,82,1:82:00
abd83,83,1:83:00
abd84,84,1:84:00
abd85,85,1:85:00
abd86,86,1:86:00
abd87,87,1:87:00
abd88,88,1:88:00
abd89,89,1:89:00
abd90,90,1:90:00
abd91,91,1:91:00
abd92,92,1:92:00
abd93,93,1:93:00
abd94,94,1:94:00
abd95,95,1:95:00
abd96,96,1:96:00
abd97,97,1:97:00
abd98,98,1:98:00
abd99,99,1:99:00
abd100,100,1:100:00
abd101,101,1:101:00
abd102,102,1:102:00
abd103,103,1:103:00
abd104,104,1:104:00
abd105,105,1:105:00
abd106,106,1:106:00
abd107,107,1:107:00
abd108,108,1:108:00
abd109,109,1:109:00
abd110,110,1:110:00
abd111,111,1:111:00
abd112,112,1:112:00
abd113,113,1:113:00
abd114,114,1:114:00
abd115,115,1:115:00
abd116,116,1:116:00
abd117,117,1:117:00
abd118,118,1:118:00
abd119,119,1:119:00
abd120,120,1:120:00
abd121,121,1:121:00
abd122,122,1:122:00
abd123,123,1:123:00
abd124,124,1:124:00
abd125,125,1:125:00
abd126,126,1:126:00
abd127,127,1:127:00
abd128,128,1:128:00
abd129,129,1:129:00
abd130,130,1:130:00
abd131,131,1:131:00
abd132,132,1:132:00
abd133,133,1:133:00
abd134,134,1:134:00
abd135,135,1:135:00
abd136,136,1:136:00
abd137,137,1:137:00
abd138,138,1:138:00
abd139,139,1:139:00
abd140,140,1:140:00
abd141,141,1:141:00
abd142,142,1:142:00
abd143,143,1:143:00
abd144,144,1:144:00
abd145,145,1:145:00
abd146,146,1:146:00
abd147,147,1:147:00
abd148,148,1:148:00
abd149,149,1:149:00
abd150,150,1:150:00
abd151,151,1:151:00
abd152,152,1:152:00
abd153,153,1:153:00
abd154,154,1:154:00
abd155,155,1:155:00
abd156,156,1:156:00
abd157,157,1:157:00
abd158,158,1:158:00
abd159,159,1:159:00
abd160,160,1:160:00
abd161,161,1:161:00
abd162,162,1:162:00
abd163,163,1:163:00
abd164,164,1:164:00
abd165,165,1:165:00
abd166,166,1:166:00
abd167,167,1:167:00
abd168,168,1:168:00
abd169,169,1:169:00
abd170,170,1:170:00
abd171,171,1:171:00
abd172,172,1:172:00
abd173,173,1:173:00
abd174,174,1:174:00
abd175,175,1:175:00
abd176,176,1:176:00
abd177,177,1:177:00
abd178,178,1:178:00
abd179,179,1:179:00
abd180,180,1:180:00
abd181,181,1:181:00
abd182,182,1:182:00
abd183,183,1:183:00
abd184,184,1:184:00
abd185,185,1:185:00
abd186,186,1:186:00
abd187,187,1:187:00
abd188,188,1:188:00
abd189,189,1:189:00
abd190,190,1:190:00
abd191,191,1:191:00
abd192,192,1:192:00
abd193,193,1:193:00
abd194,194,1:194:00
abd195,195,1:195:00
abd196,196,1:196:00
abd197,197,1:197:00
abd198,198,1:198:00
abd199,199,1:199:00
abd200,200,1:200:00
abd201,201,1:201:00
abd202,202,1:202:00
abd203,203,1:203:00
abd204,204,1:204:00
abd205,205,1:205:00
abd206,206,1:206:00
abd207,207,1:207:00
abd208,208,1:208:00
abd209,209,1:209:00
abd210,210,1:210:00
abd211,211,1:211:00
abd212,212,1:212:00
abd213,213,1:213:00
abd214,214,1:214:00
abd215,215,1:215:00
abd216,216,1:216:00
abd217,217,1:217:00
